N_unmapped	579076	579076	579076
N_multimapping	2591984	2591984	2591984
N_noFeature	219821	6446225	6459558
N_ambiguous	73063	15794	15722
YAL068C	14	9	5
YAL067W-A	3	1	2
YAL067C	40	20	20
YAL065C	39	19	28
YAL064W-B	67	34	41
YAL064C-A	180	93	87
YAL064W	17	10	7
YAL063C-A	12	6	6
YAL063C	328	148	180
YAL062W	379	187	192
YAL061W	611	316	295
YAL060W	2428	1245	1183
YAL059W	988	498	490
YAL058W	673	341	332
YAL056W	2355	1171	1184
YAL055W	410	192	218
YAL054C	401	202	199
YAL053W	3778	1922	1856
YAL051W	1050	526	524
YAL049C	2194	1108	1086
YAL048C	678	343	335
YAL047C	661	355	306
YAL046C	480	230	250
YAL044W-A	569	298	278
YAL044C	3037	1461	1583
YAL043C	1660	828	833
YAL042W	6056	2941	3116
YAL041W	1501	746	755
YAL040C	1293	674	619
YAL039C	5633	2828	2805
YAL038W	51074	25599	25489
YAL037C-A	3	9	8
YAL037W	60	33	27
YAL036C	2101	1063	1038
YAL035W	31648	15763	15885
YAL034W-A	172	87	85
YAL034C	1924	964	960
YAL033W	223	122	103
YAL032C	844	420	426
YAL031C	1090	561	529
YAL030W	1106	558	552
YAL029C	2338	1153	1189
YAL028W	369	177	192
YAL027W	571	287	284
YAL026C	1931	1115	1129
YNCA0001W	0	168	145
YAL025C	4709	2343	2366
YAL024C	724	363	361
YAL023C	3722	1854	1868
YAL022C	420	206	214
YAL021C	3741	1853	1888
YAL020C	1153	603	550
YAL019W	4096	2068	2028
YAL018C	92	52	40
YAL017W	2807	1367	1440
YAL016W	4289	2076	2213
YAL015C	1236	640	596
YAL014C	1533	736	798
YAL013W	3091	1555	1537
YAL012W	16323	8145	8178
YAL011W	1161	559	603
YAL010C	944	467	478
YAL009W	562	267	295
YAL008W	835	436	399
YAL007C	2256	1135	1121
YNCA0002W	0	0	0
YAL005C	19763	10034	9731
YAL003W	12228	6157	6073
YNCA0003W	87	42	45
YAL002W	446	219	227
YAL001C	1238	629	609
YAR002W	2762	1356	1406
YAR002C-A	2407	1224	1183
YAR003W	418	221	197
YAR007C	3701	1805	1897
YAR008W	562	274	289
YAR009C	488	239	249
YAR010C	1	1	0
YNCA0004W	1	0	1
YAR014C	2463	1217	1246
YAR015W	2705	1364	1344
YAR018C	559	275	287
YAR019C	751	380	371
YAR020C	70	31	39
YAR023C	189	93	96
YNCA0005W	1	1	0
YNCA0006C	0	0	0
YAR027W	1566	755	811
YAR028W	427	210	217
YAR029W	54	32	22
YAR031W	110	59	51
YAR033W	232	115	117
YAR035W	185	103	85
YAR035C-A	2	4	1
YAR042W	5253	2583	2670
YAR050W	111	58	53
YAR061W	3	3	0
YAR064W	54	34	20
YAR066W	2	1	1
YAR068W	30	19	11
YAR071W	56	29	27
YBL113C	808	397	411
YBL112C	0	0	0
YBL111C	13	6	7
YBL108C-A	13	5	8
YNCB0001W	0	0	0
YBL107C	870	430	440
YBL106C	342	201	141
YBL105C	1835	911	924
YBL104C	790	425	365
YBL103C	1082	553	529
YBL102W	1279	670	610
YBL101C	2355	1171	1198
YBL100W-C	22	20	15
YBL100W-B	490	266	224
YBL100W-A	0	0	0
YNCB0002W	1	1	0
YBL099W	9806	5036	4770
YBL098W	218	117	101
YBL097W	590	299	291
YBL095W	697	363	334
YBL093C	2196	1085	1111
YBL092W	6527	3368	3159
YBL091C-A	571	274	297
