gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YOR235W	10.5558487463958	-5.29685202861504	0.807088650543146	-6.56291229600419	5.27668866147815e-11	1.72433672908697e-10
YAL067C	1844.92941450983	-5.02705928330549	0.671298260174874	-7.48856295560179	6.96317855600572e-14	2.7232232966557e-13
YHR094C	4538.83458580048	-4.78201885556272	0.091467304348403	-52.2811827639284	0	0
YBL044W	34.7778356217921	-4.55710296093305	0.41654465019057	-10.9402508442928	7.39948939830558e-28	5.99548371760144e-27
YDL022C-A	2.29254929219129	-4.12831136802055	0.98548798245848	-4.18910371461022	2.80058389228741e-05	5.73733880040728e-05
YBR032W	61.286945315112	-3.99749772711733	0.259497607636474	-15.4047575371768	1.52058378871831e-53	3.01256725539175e-52
YOR348C	4113.69617959911	-3.95460603939071	0.23110555872057	-17.1116872362738	1.21430446380808e-65	3.5694903308219e-64
YJL088W	1337.80775572515	-3.95049446938395	0.288251419592374	-13.705030403564	9.4727623756993e-43	1.33633612085758e-41
YOL058W	5961.31816617076	-3.87793385317111	0.238232976329842	-16.2779054055135	1.41634441955323e-59	3.41652547006733e-58
YOR393W	2.6348024932302	-3.72866782678378	1.01505605015834	-3.67336151161517	0.000239380439448148	0.000442752232166314
YER091C	39499.3256353788	-3.62441113506202	0.17782802284375	-20.3815522272698	2.43800104985532e-92	1.40074242137142e-90
YBL071C-B	14.0998914046596	-3.61666461339431	0.460659618255877	-7.85105633328036	4.125475896566e-15	1.74635014509693e-14
YJL153C	7383.61423311586	-3.61608875764323	0.627257509440357	-5.76491903758876	8.16970503804118e-09	2.2937599218312e-08
YJR010W	8672.41125629987	-3.60861880332914	0.390766347752007	-9.23472254990412	2.58956254471593e-20	1.4837747309705e-19
YGR087C	1417.18548799044	-3.6069225851427	0.691911365966771	-5.21298357355778	1.8582735698644e-07	4.65489059117837e-07
YBR294W	5440.88676145707	-3.60480947559891	0.419879798257701	-8.58533678104337	9.05707079695133e-18	4.50005404376827e-17
YLR296W	15.171107062717	-3.60164451166359	0.434284649328153	-8.29328072552278	1.10166926553591e-16	5.08586541869025e-16
YGR032W	9162.71029048009	-3.58035781755957	0.107886936519608	-33.1862033816193	1.70255223702137e-241	8.27702318305775e-239
YOL166W-A	3.28583576620268	-3.56360677213924	0.912880534902961	-3.90369455354643	9.47353293881999e-05	0.000183377421664142
YMR230W-A	3.35981087379495	-3.55330133162576	1.03358213385284	-3.437850960504	0.000586350329609284	0.00103889377155331
YJL136W-A	4.26891222850697	-3.51130739180599	0.819031233510785	-4.28714711739959	1.80982438593843e-05	3.77993725020849e-05
YPL130W	17.1950486419001	-3.50152618256816	0.478811459986448	-7.31295400211862	2.61332494641722e-13	9.87811821851484e-13
YGL125W	5349.85509663143	-3.46826646968013	0.0551270047621264	-62.9141105098261	0	0
YFR035C	8.00023541007703	-3.44763862887074	0.595593195139556	-5.78857961609671	7.09841017727413e-09	2.00097914007014e-08
YNR077C	2.00028506043005	-3.3553256924271	1.02083803366694	-3.28683452395918	0.00101320352570221	0.00175725748694786
YKL096C-B	2.8913276055835	-3.33697093008152	0.960938520668473	-3.47261646641053	0.000515411327733271	0.000918094586041227
YLR092W	2138.67032438627	-3.29864210751059	0.223387490051545	-14.7664585279572	2.41050548808636e-49	4.20839632174193e-48
YLR406C-A	4.1796219882385	-3.28423849752889	0.828473240479929	-3.96420588747846	7.36406760312202e-05	0.000144987250005393
YGL041C-B	3.54192748577336	-3.28056326279353	0.835418754401408	-3.9268489551017	8.60659913769073e-05	0.000167674804408771
YMR272W-B	2.42240434315736	-3.21494799351038	1.01693099745636	-3.16142196624146	0.00157000878657143	0.00265235379073281
YGL184C	1178.88602926557	-3.2048565376116	0.46772580025736	-6.85199861937949	7.2825259650665e-12	2.53026740512481e-11
YNL146C-A	3.29955890454101	-3.16762030325291	0.864273166126852	-3.66506843831362	0.000247272450581041	0.000456414102707996
YCL025C	10834.1601404266	-3.13769444319425	0.117389622708102	-26.7288911132831	2.17302082402414e-157	3.81485877995348e-155
YDR497C	19580.1216697923	-3.11740913336029	0.204970470217187	-15.209064652372	3.07911042815398e-52	5.84383720898893e-51
YGR108W	478.332996631499	-3.09883706623841	0.247552448094033	-12.5179011158933	5.9590147211822e-36	6.70124075406966e-35
YPL038W-A	3.74989963960067	-3.09707774762779	0.805402365618257	-3.84537950202115	0.000120366003675677	0.00023037951036653
YDR523C	74.3340527467585	-3.05434560764512	0.194758583558506	-15.6827265419477	1.98545399819001e-55	4.23921259073003e-54
YPL198W	1653.88085529956	-3.03231776566238	0.312001515199808	-9.71891999857906	2.50423429570994e-22	1.57011515365941e-21
YDR010C	20.7465536353856	-3.02681972778019	0.33012140933163	-9.16880772412899	4.78279459194968e-20	2.7061111746752e-19
YFL055W	897.732183037349	-2.98275755035198	0.444396563814288	-6.71192757376599	1.92070030306666e-11	6.46714220318663e-11
YLR174W	445.805495641139	-2.96999218133477	0.137241691669382	-21.640597293784	7.45315636388671e-104	5.81530224935359e-102
YHL005C	7.2376020048485	-2.96662983593875	0.632085498299605	-4.69339961748748	2.68701869862926e-06	6.09327526922745e-06
YJR137C	7731.01961109035	-2.95277883075809	0.242342023861604	-12.1843450166297	3.76667280769365e-34	3.90946195597967e-33
YFR030W	10677.8421113469	-2.93590584066363	0.264702790374693	-11.091329398182	1.38218238327348e-28	1.15854014088705e-27
YDR502C	13461.4810337131	-2.91466370292196	0.148502633205171	-19.6270169761573	9.08970663229859e-86	4.55928142191485e-84
YLR302C	1.41370188794341	-2.90609868050722	1.10468559810843	-2.63070206172994	0.00852086995055712	0.0130676772840381
YNL142W	7437.69411575648	-2.86542270689581	0.141851966735409	-20.2000914956687	9.77160643614144e-91	5.51397791753696e-89
YPL281C	7.23593035061757	-2.8239016085354	0.551651237939635	-5.11899804500105	3.0716314541549e-07	7.54771026059835e-07
YJR061W	857.405687636924	-2.81940510041275	0.173757361248665	-16.2261044950947	3.29732495359222e-59	7.92360977441173e-58
YKL001C	4393.83323894896	-2.78968570383266	0.241980777954032	-11.5285425868108	9.47338242032659e-31	8.66451185187613e-30
