YFR009W	GO:0043335,GO:0022626,GO:0006448,GO:0016887,GO:0005524
YBR272C	GO:0044183,GO:0006298,GO:0005634,GO:0070682,GO:0005829,GO:0005737,GO:0006457
YGL004C	GO:0044183,GO:0005634,GO:0005737,GO:0000502,GO:0006457,GO:0070682,GO:0006511,GO:0005829
YGR232W	GO:0044183,GO:0006457,GO:0070682,GO:0005634,GO:1904855,GO:0005829
YAL041W	GO:0000750,GO:0043332,GO:0005085,GO:0007096,GO:0000749,GO:0120171,GO:0031106,GO:0072697,GO:0005737,GO:0005934,GO:0005634,GO:0000282,GO:0005935,GO:0043577,GO:0000131,GO:0030010,GO:0000935
YMR171C	GO:1990756,GO:0043328,GO:0005783,GO:0005768,GO:0005774,GO:0005773,GO:0010008,GO:0016020
YER125W	GO:0006515,GO:0004842,GO:0010994,GO:0034450,GO:0022626,GO:0070534,GO:0061630,GO:0070651,GO:0006511,GO:2000238,GO:0010794,GO:0032443,GO:0005829,GO:0045944,GO:0045723,GO:0043162,GO:0010793,GO:0010795,GO:0070086,GO:0048260,GO:0034605,GO:0032511,GO:0005794,GO:2000203,GO:0016567,GO:0072671,GO:0005739,GO:0007005,GO:0006325,GO:0043161,GO:0005737,GO:2000235,GO:0034517,GO:0005934,GO:0005886,GO:2000232,GO:0043130,GO:0019220,GO:0016973,GO:0010008,GO:0032880,GO:0045807,GO:0006808,GO:0043328,GO:0035091,GO:0032436,GO:0033554,GO:0032956,GO:0005634,GO:1903577,GO:0071230,GO:0000151
YKL124W	GO:0043328,GO:1990756,GO:0000324,GO:0016192,GO:0005783,GO:0005768,GO:0005773,GO:0005774,GO:0010008,GO:0016020,GO:0015031
YOR008C	GO:0004888,GO:0006897,GO:0005886
YDR443C	GO:0030332,GO:0045944,GO:0000122,GO:0016592,GO:0003713
YJR090C	GO:0031146,GO:0034599,GO:0004842,GO:0016020,GO:0006006,GO:0016567,GO:0000209,GO:0030674,GO:0071406,GO:0000142,GO:0005634,GO:0005737,GO:0000751,GO:0019005
YDL028C	GO:0007094,GO:0004672,GO:0005777,GO:0044779,GO:0004674,GO:0030474,GO:0034501,GO:0005816,GO:0004712,GO:0000776,GO:0031134,GO:0043515,GO:0051988,GO:0051225,GO:0005524
YHR170W	GO:0030674,GO:0043023,GO:0000055,GO:0005829,GO:0070180,GO:0005634
YJL168C	GO:0140955,GO:0003723,GO:0006338,GO:0006283,GO:0046975,GO:0060195,GO:0006354,GO:0030437,GO:0006353,GO:0009302,GO:0005634,GO:0005829,GO:0045128,GO:0006355,GO:0008270,GO:0030174,GO:0008168,GO:0032259,GO:0005694,GO:0000785
YMR301C	GO:1902497,GO:0140359,GO:0016020,GO:0005739,GO:0016226,GO:0042626,GO:0005743,GO:0016887,GO:0055085
YPL135W	GO:0016226,GO:0005506,GO:0051536,GO:0005739,GO:0005759,GO:0008198,GO:0006879
YHR049W	GO:0004622,GO:0006915,GO:0016788,GO:0005737,GO:0005634,GO:0052689,GO:0016787
YDR003W	GO:0072665,GO:0000324,GO:0030674,GO:0016020,GO:0031982,GO:0005737,GO:0000329,GO:0016192,GO:0043231
YBR005W	GO:0043495,GO:0072659,GO:0005886,GO:0006033,GO:0016192,GO:0005789,GO:0005783,GO:0016020,GO:0043231
YLR045C	GO:0061863,GO:0046785,GO:0043232,GO:0007020,GO:0051010,GO:0030951,GO:0007051,GO:0008017,GO:0000776,GO:0007052,GO:0005876,GO:0005938,GO:0005816,GO:0035371,GO:0000922
YNL077W	GO:0042405,GO:0051082,GO:0043335,GO:0006457,GO:0005737,GO:0005634
YMR066W	GO:0061668,GO:0032543,GO:0008494,GO:0045727,GO:0005739
YLR259C	GO:0042645,GO:0000002,GO:0051082,GO:0006458,GO:0005737,GO:0005739,GO:0005759,GO:0005524,GO:0042026,GO:0051604,GO:0016887,GO:0003697,GO:0045041,GO:0003688,GO:0051131,GO:0051087,GO:0050821,GO:0140662,GO:0007005,GO:0034514
YER145C-A	GO:0003674,GO:0008150
YGR016W	GO:0016020,GO:0008150,GO:0005783,GO:0003674
YNL088W	GO:0003918,GO:0000722,GO:0003677,GO:0003916,GO:0005524,GO:0046872,GO:0006259,GO:0005634,GO:0061982,GO:0006265,GO:0000819,GO:0000712
YDR251W	GO:0005934,GO:0005935,GO:0007124,GO:0003674,GO:0005933
YPL032C	GO:0005934,GO:0005935,GO:0005938,GO:0005737,GO:0005933
YJL137C	GO:0008466,GO:0005978,GO:0005737,GO:0046872,GO:0016740
YFL023W	GO:0006364,GO:2001209,GO:0003729,GO:1990114,GO:1990113,GO:0001731,GO:0005737,GO:1990115,GO:0016272,GO:0051082,GO:0006457
YOR211C	GO:0003924,GO:0097002,GO:0005741,GO:0042407,GO:0061025,GO:0008289,GO:0046872,GO:0005758,GO:0005743,GO:0005739,GO:0005525,GO:0016787,GO:0005886,GO:0031623,GO:0008017,GO:0005874,GO:0008053
YJL218W	GO:0005739,GO:0008150,GO:0016407,GO:0008870
