gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	timepoint	regulation
YBR054W	250.705072210387	2.41000894002304	0.183620479550591	13.1249463345348	2.3695055500904e-39	2.0319887711531e-38	45	up
YOR027W	22349.0844968372	2.33692227849506	0.0530438098011158	44.0564561116028	0.0	0.0	45	up
YDR258C	7748.53016069322	2.19464583709053	0.0530125814522377	41.3985845806777	0.0	0.0	45	up
YLL026W	18082.3336423594	2.17675051777454	0.0490836969133653	44.3477295855809	0.0	0.0	45	up
YBR101C	5328.23480573266	2.10578312613398	0.0564463238489928	37.3059392099199	1.31476371606745e-304	1.19340091150738e-302	45	up
YDR339C	1751.39490330394	2.05704892888461	0.0779011773943129	26.4058772625788	1.17296555622419e-153	5.53639742537819e-152	45	up
YBR092C	943.111313933018	2.03085132054563	0.0970534256259569	20.9250864402511	3.1649007950570303e-97	8.08351285317596e-96	45	up
YOR385W	1166.93041106603	1.9994667524422	0.0885143025215291	22.5891940113958	5.53482103431311e-113	1.7097091153113803e-111	45	up
YFR053C	2973.83757215116	1.98147530745033	0.0709726730626693	27.9188485080824	1.57558661863084e-171	8.299965223144601e-170	45	up
YOR020C	3971.78581522918	1.9757555540637	0.0598316627138705	33.0219062022769	3.93855982057553e-239	2.83384182212142e-237	45	up
YLL009C	660.226030502334	1.96937883345255	0.111098992108756	17.7263429313986	2.62567745854967e-70	4.4644083589173096e-69	45	up
YKL120W	1464.94258625991	1.95319893208132	0.083333463280822	23.4383506359182	1.73790251465093e-121	6.103348116928871e-120	45	up
YPL106C	26466.4926572634	1.95172417331215	0.0450195369224117	43.3528265000998	0.0	0.0	45	up
YNL058C	3064.34609761895	1.94358388982307	0.0648789224160735	29.9570926495776	3.55691870428238e-197	2.1634866345635098e-195	45	up
YNL141W	886.770162143293	1.93974394094687	0.0979320958829902	19.807029794037	2.58914391032269e-87	5.6999809966059296e-86	45	up
YMR290C	2279.77264273238	1.92251593632183	0.0695906637922886	27.6260611920598	5.41303640945182e-168	2.8262756474129e-166	45	up
YNR077C	3.1963553104881	-4.98906990013017	1.88613563747915	-2.64512784817434	0.008166005719818	0.0122812729408428	45	down
YFL055W	1924.70209827049	-4.8934631673858	0.119467251058343	-40.9607078428214	0.0	0.0	45	down
YJL136W-A	6.83241263192061	-4.58429852713429	1.6627558093376	-2.75704857044557	0.0058325687168821	0.0089568337921928	45	down
YDL022C-A	2.28311093606293	-4.50364297782775	2.03909291577015	-2.20865020078144	0.0271989807282041	0.0382901422802204	45	down
YPL054W	1215.4690320113	-4.48485063339216	0.135085355369923	-33.2001246257277	1.07210034021585e-241	7.809125934905541e-240	45	down
YFR030W	20217.3736647746	-4.21328736184822	0.0557482904608127	-75.576978720269	0.0	0.0	45	down
YLL061W	3169.92570322049	-4.16026764740814	0.0866977639977538	-47.9858701721065	0.0	0.0	45	down
YJL028W	5.10745396333032	-4.13865934056147	1.72798439604762	-2.39507911647103	0.0166167793266481	0.0241119031055642	45	down
YLL062C	1520.5760750678	-4.12682340205855	0.112063284773632	-36.8258293552142	7.12914920803566e-297	6.2779075115537895e-295	45	down
YOL163W	426.758275184633	-3.99607092938758	0.188184511333536	-21.2348556269065	4.55088493062156e-100	1.1933431595852101e-98	45	down
YOR105W	4.60109215092823	-3.98634214463785	1.74894798438404	-2.27927999016037	0.0226504267296137	0.0322173379230282	45	down
YOL162W	144.155092751913	-3.90399001924754	0.310641277124401	-12.5675185712172	3.1856638123348e-36	2.49939049106055e-35	45	down
YKL001C	7977.75111781804	-3.86430004004259	0.0613576367520566	-62.9799360698661	0.0	0.0	45	down
YPL038W-A	8.32417525544079	-3.82867318536921	1.25806777486404	-3.04329644385254	0.0023400169243474	0.0037618800691144	45	down
YPL223C	1423.40517943969	-3.81143041942275	0.10901795346455	-34.9614930229097	8.66206077170176e-268	7.19805050042822e-266	45	down
