gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	timepoint	regulation
YAL067C	5226.26967418245	-8.35938628552052	0.201843998215182	-41.4150847161119	0.0	0.0	45	down
YOR235W	14.6322759724251	-5.71506943899119	1.54395704616995	-3.70157282106287	0.000214267141245	0.0003854195528493	45	down
YBL044W	36.6589276988048	-5.02178958490108	0.804424472072452	-6.24271110495105	4.30050768121366e-10	1.1779477864048602e-09	45	down
YOR348C	7057.05532900585	-4.84511581956375	0.238960501105106	-20.2758020558077	2.1033506402523103e-91	4.98384288252556e-90	45	down
YHR094C	3462.31196904323	-4.51614415843822	0.084981568257067	-53.142631408931	0.0	0.0	45	down
YER091C	59800.1285578314	-4.37338080732731	0.0484739414478367	-90.2212751161065	0.0	0.0	45	down
YJL088W	1556.33593492901	-4.3611567377727	0.116483591730521	-37.4400949780292	8.70608237999389e-307	8.284820329349021e-305	45	down
YLR296W	18.2102674231756	-3.96740129358591	0.877248430611049	-4.5225516001464	6.10985852965543e-06	1.24907017758029e-05	45	down
YBR032W	54.2277305620651	-3.83114209637335	0.498213057244484	-7.68976653795993	1.47403750226525e-14	5.12482101553623e-14	45	down
YOL058W	5155.30983316685	-3.80705508330139	0.07172500235096	-53.0784936704911	0.0	0.0	45	down
YGR032W	9530.37779574166	-3.65122463965017	0.0627033780409041	-58.2301106212861	0.0	0.0	45	down
YGL125W	5445.42102471213	-3.58931038863766	0.0694112065569646	-51.7108197174468	0.0	0.0	45	down
YCL025C	13841.4641451646	-3.57333660836313	0.0549194490139014	-65.0650484031373	0.0	0.0	45	down
YFR035C	7.00609914887357	-3.56360635291905	1.32866764245145	-2.68209011724258	0.0073163747880587	0.0110797256800685	45	down
YBL071C-B	15.9765310630951	-3.41788790772429	0.836987795871984	-4.08355763916903	4.43514219554704e-05	8.4711359513524e-05	45	down
YOR235W	13.1817666741442	-5.82975956272783	1.52936677451788	-3.81187800066182	0.0001379149469178	0.0003020920941954	120	down
YBL044W	43.3061065156147	-4.94977964486955	0.681175686323566	-7.26652425247948	3.68855018062725e-13	1.77393110153883e-12	120	down
YOL058W	9766.43217095896	-4.88035211216721	0.0893460820114046	-54.6230120258016	0.0	0.0	120	down
YJL088W	2126.85318466433	-4.87620180208978	0.126129698099986	-38.6602194054593	0.0	0.0	120	down
YHR094C	4791.57089839937	-4.85705663552631	0.0935886239010138	-51.897938371906	0.0	0.0	120	down
YBR032W	68.3757707751418	-4.49471358724213	0.488814824547648	-9.19512535529494	3.7455761772578804e-20	2.80490419060898e-19	120	down
YOR348C	2992.09463241746	-3.8997046189471	0.264360117321669	-14.7514861865567	3.0096331491018097e-49	7.3387790135743e-48	120	down
YAL067C	223.090968353364	-3.85991263024031	0.249528341004507	-15.4688345808807	5.63173950288034e-54	1.5602298031219201e-52	120	down
YLR296W	11.6919186292335	-3.59701308266881	0.97462949669468	-3.69064664558951	0.0002236846882755	0.0004754911187009	120	down
YBL071C-B	19.2761983660388	-3.50583544580441	0.745270208099768	-4.70411322994289	2.54971720773987e-06	6.93678250017196e-06	120	down
YGL125W	5415.76393493757	-3.43050371268365	0.0818644230826878	-41.9046953915335	0.0	0.0	120	down
YGR032W	8266.43590501722	-3.42226133806626	0.322453433199721	-10.6131955368159	2.5874537797295597e-26	2.68340329599018e-25	120	down
YFR035C	6.94476518212338	-3.22698224400047	1.17463086123722	-2.74723093908969	0.006010079898351	0.0103548851036991	120	down
YCL025C	9816.26656431398	-3.09311589552652	0.0807640549477919	-38.298174819553	0.0	0.0	120	down
YER091C	25195.8269031642	-3.04905340682265	0.0759358924056696	-40.1529936664706	0.0	0.0	120	down
YFR035C	3.12934491589283	-5.16432279399379	1.85586802635588	-2.78269937336778	0.0053908731877345	0.0094544419879929	200	down
YHR094C	6140.73590653443	-5.01279590613229	0.104036349502801	-48.1831199392222	0.0	0.0	200	down
YOR235W	5.0134314290107	-4.30546279897116	1.65868786908821	-2.59570403763662	0.0094397337300294	0.0159489635696205	200	down
YBR032W	75.3261436576746	-4.14192721991382	0.429991837229149	-9.63257174044102	5.82529633859673e-22	4.6610264064246205e-21	200	down
YBL071C-B	7.33744454354256	-3.9141198750452	1.29250752395182	-3.02831496336504	0.0024592162895776	0.004526705794874	200	down
YAL067C	248.636069915345	-3.73026454155884	0.228257894012752	-16.342324359439	4.93357199249107e-60	1.5252744824952701e-58	200	down
YGR032W	11184.9766328356	-3.68689872225561	0.0867874978967001	-42.4819105471157	0.0	0.0	200	down
YBL044W	23.6793125521427	-3.54247341247095	0.664581535080412	-5.33038194033231	9.80064286047761e-08	3.01263904690892e-07	200	down
YLR296W	11.4880812370339	-3.47761660472586	0.938826334021691	-3.70421714719978	0.0002120445621807	0.0004589894207027	200	down
YER091C	37727.2737534842	-3.4712582013226	0.0926663569326866	-37.4597460850236	4.168538628423709e-307	4.9230441201684e-304	200	down
YGL125W	5536.5548267864	-3.36645005815939	0.0940214235502852	-35.8051381381065	9.187017228634299e-281	6.02770408167617e-278	200	down
YOR348C	2174.89677180698	-3.12151704479695	0.104421525750728	-29.8934249653519	2.3957690958590504e-196	7.073508255523861e-194	200	down
YOL058W	3068.1895529746	-2.97748721146116	0.0968011166370039	-30.7588105892052	9.32279890297154e-208	3.23830161894394e-205	200	down
YCL025C	9855.4340361309	-2.75141443336191	0.087720709967853	-31.3656197535362	5.95845486817619e-216	2.34564506643869e-213	200	down
YJL088W	519.699255869109	-2.61535834216096	0.158328822255787	-16.5185233168458	2.69926302975252e-61	8.70991704409215e-60	200	down
