gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YOL161C	12.6397449328134	4.86894946608668	0.674744110251765	7.21599402219302	5.35414093205595e-13	1.83137012563209e-12
YKL224C	2.19464159119156	4.48155365116253	1.00121990836356	4.47609322759812	7.60212993822492e-06	1.55352441101113e-05
YLL030C	3.4811292288489	4.18716232057742	0.927012655987103	4.51683404054375	6.27710626257767e-06	1.29302704412694e-05
YBL108C-A	4.65277107128378	4.08807682680464	0.889365408532417	4.59662225175877	4.29395074552155e-06	8.96695787747685e-06
YER067W	2079.39042995647	3.87253789206193	0.11239196602791	34.4556468662564	3.70624369761511e-260	2.43541391418842e-257
YDL241W	631.100069440291	3.62449150929405	0.120300336993873	30.1286895769763	2.04030204567203e-199	5.74587918957353e-197
YER011W	578.570051344364	3.58367935276941	0.228466069423823	15.6858274920526	1.89082890487812e-55	3.59561483712192e-54
YBR018C	93.2395645327007	3.52559516624723	0.247504816194596	14.244551764501	4.84647614733293e-46	7.042275168385e-45
YCL064C	2500.79321539329	3.48170311973361	0.127627461760139	27.2802034273553	7.28570250025962e-164	1.30568619959198e-161
YCR021C	828.504092238218	3.1166255304995	0.109281404577684	28.5192667731865	6.75880458856615e-179	1.37833001161311e-176
YFL020C	125.881649243487	3.0949886211541	0.193588014176225	15.9875012630519	1.56170562256771e-57	3.27515143683171e-56
YOL014W	153.244375993544	3.06580879748389	0.143086842525223	21.4262104284218	7.61302039294703e-102	4.89384810911834e-100
YER053C-A	612.003020202877	3.01319761110283	0.162952376934833	18.4912774381184	2.4273555654435e-76	8.49430817398394e-75
YBR067C	5065.24057293754	3.00311705778154	0.141250807327842	21.2608842001967	2.61444107222087e-100	1.64487281926747e-98
YCL069W	5.26485949441062	2.98931583321852	0.625068493985558	4.78238123018816	1.73230742891322e-06	3.73627503085076e-06
YGL138C	47.8645632274539	2.94007417905983	0.241710820536471	12.1636018302136	4.85690162908453e-34	4.49510426203536e-33
YIR041W	21.7595556934046	2.88046095412324	0.332353294304369	8.66686445865439	4.44183215734152e-18	2.06355030467539e-17
YEL039C	1284.54902351182	2.85825945108002	0.157911747169232	18.1003598675712	3.16592606147216e-73	1.03443573080367e-71
YLR216C	11309.3738547455	2.75164325002159	0.0890499673446346	30.8999916796418	1.19476518281503e-209	3.92546738398227e-207
YLR460C	670.190069425351	2.74641908714553	0.143803380335407	19.0984320447807	2.60183923801534e-81	1.01902498368362e-79
YDR542W	17.6463812608905	2.69683367307398	0.321317896504286	8.39303911302062	4.73733912894607e-17	2.06004585357258e-16
YJL218W	312.323727321212	2.64231424158441	0.107898528849848	24.4888810788279	1.94043641532907e-132	2.29514819205122e-130
YBR301W	41.42105647561	2.6208322821964	0.334834451775548	7.82724796776063	4.98664954314953e-15	1.93637855536351e-14
YIL011W	633.446475160559	2.586452504229	0.167221383099463	15.4672354473386	5.77337224770605e-54	1.05381862570783e-52
YPL240C	28495.6913953493	2.53215462422741	0.0759760145143645	33.3283423776943	1.50061798424718e-243	8.06786796257982e-241
YCR104W	40.3380693798244	2.48278776493059	0.248713879048067	9.98250589968385	1.81815936261714e-23	1.10509706788466e-22
YJR047C	96.0944759895887	2.46963074560052	0.163522059655608	15.1027375193401	1.5534759100709e-51	2.67850044669367e-50
YGL015C	41.8667575460804	2.46597739804763	0.277294418603107	8.8929932685634	5.94844188060557e-19	2.90496162526023e-18
YPR157W	388.491791864283	2.43425793838349	0.106958399036843	22.7589227241984	1.17087203597436e-114	9.4856674256882e-113
YEL070W	351.294291213017	2.42489952823423	0.154234926557769	15.7221167886768	1.06698481286891e-55	2.08945304083004e-54
YGR035C	217.3764583808	2.35626315531611	0.272452626886769	8.64834074914377	5.22536069437719e-18	2.42184820897702e-17
YOL109W	21883.1256056839	2.3473854086051	0.0996087076723359	23.5660662953971	8.59202422075437e-123	8.3300379084494e-121
YDR342C	740.432006621628	2.28972857607717	0.0954889318073635	23.9789945571535	4.60671764005618e-127	4.95347784059859e-125
YER103W	11834.3036970711	2.28447685953043	0.0911843499052738	25.0533875813519	1.60358361921648e-138	2.01778585618005e-136
YCR102C	681.399247063877	2.27263286158674	0.144840527364724	15.6905867641866	1.75426490260005e-55	3.35751541552645e-54
YGR142W	7540.95834455694	2.26710183991049	0.155461948126448	14.5830016105709	3.60319275654873e-48	5.607705779534e-47
YAL018C	43.5534981410368	2.25778827251752	0.207542961765302	10.8786549701007	1.45696890450502e-27	1.06904641454624e-26
YKL216W	11348.8514264482	2.20134824377495	0.0921451306670213	23.8900116353388	3.8899543544562e-126	3.96641207797482e-124
YBR019C	25.8872155119231	2.1546202344385	0.30193626228446	7.13601015703306	9.60789137931308e-13	3.25249396778807e-12
YKL044W	209.290476645911	2.15243714066636	0.117155799450591	18.3724335522469	2.18396277362364e-75	7.42296312828173e-74
YKL043W	2518.40218077008	2.15220398480352	0.0553821409257886	38.8609748346032	0	0
YBR085W	211.569015760931	2.14162326808658	0.117791368174809	18.1814958198659	7.23335869435602e-74	2.38983705689505e-72
YBL075C	2146.64777516404	2.12150209029797	0.103037251824057	20.5896610472548	3.39737204165883e-94	1.87776245367947e-92
YBR072C-A	4.58939961507042	2.09718838063618	0.64136530468825	3.26988124444238	0.00107592643395287	0.00178286044561426
YOR027W	23079.4522583726	2.08016093445268	0.106234020637346	19.5809301198698	2.24876655751092e-85	9.70744921249604e-84
YGR249W	1191.84543380041	2.06036643184561	0.0861886278827709	23.9053165418529	2.69664308297617e-126	2.79788547240721e-124
