gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	timepoint	regulation
YOL161C	13.3039858144388	4.81578459185898	1.17915630837862	4.08409348077087	4.42492162901178e-05	8.45709025305134e-05	45	up
YER067W	1722.37664553938	4.23480605255593	0.103859663173001	40.7743095170829	0.0	0.0	45	up
YDL241W	555.56869582458	3.86159191231183	0.157243710640425	24.5580055099455	3.55203087420214e-133	1.35206336501888e-131	45	up
YER053C-A	595.418499615382	3.56001157934956	0.141946720704204	25.0799142219573	8.23865446557456e-139	3.3755598157562397e-137	45	up
YCR021C	710.114122338062	3.28453991452528	0.127469718085729	25.7672172171613	2.06739037511778e-146	9.171130235484881e-145	45	up
YCL064C	2500.71555293422	3.23062715679712	0.0765885451677121	42.1815971268648	0.0	0.0	45	up
YOL014W	144.424456058339	3.20474165815391	0.266638498691066	12.0190507893123	2.82194474770128e-33	2.01567481978663e-32	45	up
YLR216C	10593.1117033327	3.05400354679892	0.0518558565689789	58.894091214875	0.0	0.0	45	up
YEL039C	1372.06538849421	2.90546336051249	0.0906214660327806	32.0615356130025	1.51618017963284e-225	1.0165298931629301e-223	45	up
YBR067C	4602.56356510642	2.90149805580435	0.06780820172921	42.789780318779	0.0	0.0	45	up
YDR542W	18.9393999619875	2.87259638767989	0.67501396433822	4.2556103124417	2.0847954339782e-05	4.08511891745977e-05	45	up
YPL240C	29980.7749262685	2.73057191554344	0.0450491147687621	60.6132202499318	0.0	0.0	45	up
YER011W	522.944867707403	2.71915357958968	0.139726617686621	19.4605267386362	2.37333116222968e-84	4.98315083884524e-83	45	up
YBR018C	89.6258620056339	2.71018173875889	0.307887133832307	8.80251702961713	1.3378125160028598e-18	5.6098748005805596e-18	45	up
YFL020C	138.372509710344	2.48602847635838	0.251773629150747	9.87406220716584	5.39350839941858e-23	2.68991543166269e-22	45	up
YGL138C	41.9168849293367	2.41596933133835	0.429041555160893	5.63108468696546	1.7907976165284e-08	4.41341100146932e-08	45	up
YJL218W	285.614445846947	2.37606527801049	0.170986317488518	13.89623048739	6.67661492322669e-44	6.46831330821634e-43	45	up
YAL018C	41.3182172598137	2.32473966838124	0.442129207133723	5.2580549551392	1.45587017706338e-07	3.3777562110397e-07	45	up
YLR460C	680.888880502435	2.31347330810757	0.11351762248721	20.3798604782111	2.5237354235087797e-92	6.0528613815861e-91	45	up
YIR041W	20.8999474348185	2.24306683488674	0.599452244274743	3.74186076757549	0.0001826627141715	0.0003307888316795	45	up
YDR342C	659.905956314301	2.23173472049115	0.268375915127863	8.31570418466159	9.120906473224311e-17	3.50804095124012e-16	45	up
YPR157W	359.752590736769	2.2077632806749	0.151841043414921	14.5399638399611	6.7628366967856e-48	7.087164566791301e-47	45	up
YJR047C	102.571144661022	2.14383045535692	0.269586607314916	7.95228841933018	1.83097368251073e-15	6.631519169314481e-15	45	up
YER103W	12471.5471199428	2.13075060680338	0.0489837734340305	43.499111183686	0.0	0.0	45	up
YKL044W	260.238217613148	2.03531302865744	0.1709420981966	11.9064469790035	1.09546403050398e-32	7.63074118060626e-32	45	up
YIL011W	610.163890859077	1.96322271290069	0.115710573183524	16.9666665619822	1.44928843913833e-64	2.2065842479787502e-63	45	up
YOL161C	11.0012220281962	5.28371497222257	1.56486328160095	3.37647066957633	0.0007342219980812	0.0014461428607067	120	up
YBR018C	94.2896958684076	3.79870026740011	0.385682987921715	9.84928136931764	6.90358065219899e-23	6.02633571429382e-22	120	up
YER011W	544.326472469677	3.65089209664959	0.1695075389776	21.5382284391024	6.82680989276451e-103	5.1647442534876097e-101	120	up
YER067W	1964.75030697804	3.56276766018906	0.111858237529972	31.850740176685	1.2856063184394599e-222	3.61255375481488e-220	120	up
YIR041W	24.7755105516009	3.36052201750621	0.671250004271869	5.00636424002932	5.54677507491501e-07	1.63086794803555e-06	120	up
YCR021C	757.28209873582	3.34005102081293	0.139604722912989	23.9250574845858	1.68047545923685e-126	1.80299739726484e-124	120	up
YGL138C	53.4490178449405	3.25323319210109	0.796101756998672	4.08645397840331	4.38016321319232e-05	0.0001022846977485	120	up
YDL241W	625.7303154016	3.25322476546336	0.14930733319572	21.7887808711904	2.96437701653764e-105	2.33237183661182e-103	120	up
YFL020C	110.925901353222	3.2333204125617	0.318004766716848	10.1675218454843	2.76862945189188e-24	2.59328291993873e-23	120	up
YCL064C	2320.35022648626	3.23175886655625	0.101833114230487	31.7358345659699	4.98024702979974e-221	1.33583807831128e-218	120	up
YJR047C	89.938764965995	2.88899673426029	0.333622725554114	8.65947225106432	4.73953397172548e-18	3.16738278223693e-17	120	up
YER053C-A	605.579276800576	2.76293383267741	0.15430513875119	17.9056501619983	1.0654369496543e-71	4.42756580275354e-70	120	up
YIL011W	600.926073187851	2.69614858915528	0.141904935527625	18.9996815764764	1.71582259843587e-80	8.58056707912718e-79	120	up
YLR460C	634.623642174349	2.68752998888966	0.147881154934319	18.1735799269576	8.35640074023311e-74	3.62581770353791e-72	120	up
YOL014W	155.117164297932	2.6623416053077	0.249693127205851	10.6624544900382	1.52518247190126e-26	1.59859711664109e-25	120	up
YBR067C	4871.03407448837	2.65832498244613	0.211075877158745	12.5941676435478	2.2734548126393298e-36	3.7162484347326e-35	120	up
YJL218W	303.381871710009	2.65029654137092	0.184433789422105	14.3699077575493	7.99376436432898e-47	1.7601094925595002e-45	120	up
YDR542W	15.6734824446853	2.60129087619853	0.750917639259867	3.46414938229773	0.0005319110410678	0.0010730964284927	120	up
