gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YAL067C	5223.4554486789	-8.35824509408867	0.201768057919212	-41.4250163295684	0	0
YGR087C	3853.18692837431	-6.88721305359864	0.144033961278995	-47.8165912569608	0	0
YOR235W	14.6240150696525	-5.71393762657285	1.54576899567538	-3.69650163935154	0.000218590848394995	0.000399183166511756
YBR294W	12098.585785507	-5.43385375145595	0.0711370344149112	-76.3857222352376	0	0
YJR010W	18481.4111420495	-5.25832455823013	0.0629390889244835	-83.5462452362354	0	0
YGL184C	2677.04430901239	-5.15573527122717	0.108723524889639	-47.4206044778309	0	0
YBL044W	36.6396398603638	-5.02053083234205	0.805999183007085	-6.22895275602025	4.69563351039245e-10	1.31025775417244e-09
YNR077C	3.19459203373959	-4.98790299177644	1.89452449785676	-2.63279941611691	0.0084684343494345	0.0129016319169
YFL055W	1923.7012932705	-4.89230198944263	0.119486376641033	-40.9444333904301	0	0
YOR348C	7053.3246152066	-4.84414084284889	0.237801508988128	-20.3705218838234	3.05406017610996e-92	7.42579954110608e-91
YJL136W-A	6.82860533487142	-4.58288363274724	1.66666023070551	-2.74974079798333	0.00596424229006615	0.00927395075015443
YHR094C	3460.48646442917	-4.51495787852745	0.0848230847753808	-53.2279377775928	0	0
YDL022C-A	2.28185145267114	-4.50247601356889	2.04999110426497	-2.1963392934738	0.028067667255029	0.0399546821406575
YPL054W	1214.84575017995	-4.48373376410395	0.135207689168679	-33.1618252754121	3.82508852878268e-241	2.81283949128775e-239
YER091C	59769.195980421	-4.37222890062633	0.0479210444647356	-91.2381804166182	0	0
YJL088W	1555.51293642362	-4.35994729790719	0.116496241391823	-37.4256477789953	1.49574192756159e-306	1.40926934737444e-304
YHL005C	11.5652749342013	-4.32641362464614	1.21017757324272	-3.57502379841113	0.000350196040058775	0.000628663924249602
YLR092W	3339.6407620526	-4.32012941035113	0.0844197995175732	-51.1743623538437	0	0
YFR030W	20207.0807563043	-4.21212363060667	0.0553926432533863	-76.041210226038	0	0
YLL061W	3168.30870534222	-4.15913890140914	0.0865476434548076	-48.0560617872965	0	0
YJL028W	5.10538648195816	-4.13745659028586	1.73302394282618	-2.38742032815691	0.0169670799213606	0.0249297007616482
YLL062C	1519.80537423511	-4.12568501789755	0.112122824581152	-36.7961209799122	2.12975497845299e-296	1.88859154706935e-294
YJR137C	13711.8567853511	-4.00402364237692	0.0674499414705246	-59.3628927628746	0	0
YOL163W	426.543426675546	-3.99491054204691	0.188636676750813	-21.1778038653859	1.53000891781519e-99	4.08228043116178e-98
YOR105W	4.59847757921718	-3.98528222445251	1.75447871430114	-2.27149078069036	0.0231172844458928	0.0332849152838428
YOL162W	144.082499630984	-3.90283718467875	0.31159379374598	-12.5254009001876	5.42167025164134e-36	4.27914549965933e-35
YKL001C	7973.75652227835	-3.86313359510332	0.0610810038361467	-63.246072469051	0	0
YBR032W	54.2017271283588	-3.82985424254461	0.499975510267489	-7.6600836718895	1.85811985888122e-14	6.56768039217688e-14
YOL166W-A	4.15671619000062	-3.82906329027633	1.78530083178216	-2.14477203063531	0.0319710785084076	0.0451277161530192
YPL038W-A	8.320144288255	-3.82754108870811	1.26235209059089	-3.03207093903294	0.00242882116687324	0.00395939216984202
YPL223C	1422.70055967043	-3.81028351387205	0.109105736244519	-34.9228523176154	3.34565271287099e-267	2.84144871248058e-265
YOL058W	5152.64946765322	-3.80587576277259	0.0714057921028179	-53.2992583751815	0	0
YFL014W	42101.8283254046	-3.7874195704159	0.0481882336012754	-78.5963561510513	0	0
YCR085W	8.06333388275763	-3.78475279534386	1.27845649477084	-2.96040796915992	0.00307231898460017	0.00494556419571249
YKL201C	4135.49082589036	-3.71140692301148	0.0696534992300111	-53.2838545663816	0	0
YKR069W	6208.23632205787	-3.68783352140118	0.0639366135726238	-57.6795253194365	0	0
YOL164W	3611.95157657548	-3.65883627817379	0.0759484804218336	-48.1752400818536	0	0
YGR032W	9525.63706412456	-3.65010183711596	0.0621975254112161	-58.6856440506832	0	0
YGL125W	5442.69808066492	-3.58818816317604	0.0689634433378311	-52.030293000287	0	0
YCL025C	13834.6083849685	-3.57219549198028	0.0543870062477488	-65.6810466034457	0	0
YFR035C	7.00275711366921	-3.56297404195211	1.33408778316257	-2.67071933865234	0.00756889032456756	0.0116103812406874
YIL074C	8594.87626887013	-3.5148230608018	0.0604862655697171	-58.1094406754303	0	0
YOL024W	13.3939728457535	-3.48799569607732	0.933266449691915	-3.73740607221953	0.000185928512622127	0.000341917941784516
YHR176W	1330.54360086942	-3.44851495593763	0.102654829039275	-33.5933047496311	2.10108454792729e-247	1.60373921822804e-245
YBL071C-B	15.9685944626071	-3.41680122006137	0.840362718096732	-4.0658648301293	4.78546677047742e-05	9.28155825859725e-05
YDL059C	2067.80346622722	-3.39793117112537	0.0857371247094857	-39.631970195397	0	0
YER069W	7049.7308242895	-3.3917711028912	0.0587279732346917	-57.7539274058861	0	0
YLR174W	590.139031610631	-3.38021382847966	0.147166806223528	-22.9685886051337	9.60822083149052e-117	3.18338305570812e-115
YDR253C	950.712068299809	-3.36684934188661	0.116428397078852	-28.917767712686	7.13899871966567e-184	4.099824979008e-182
YFR032C-B	57.8129861734818	-3.34104884073597	0.44593186635219	-7.4922854651909	6.76845081129393e-14	2.31764670028975e-13
